test_ename,test_cname,specimen,reference_range,notes,detail_link
5-Fluorocytosine,抗黴菌藥物5-Fluorocytosine敏感性試驗,菌種,不適用(N/A),請聯絡細菌組,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=280&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Acid fast stain & Mycobacterium culture (Aspirate),分枝桿菌培養 （含抗酸性染色）,膿腫(Abscess)、淋巴結(Lymph node),Stain negative & No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=261&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Acid fast stain & Mycobacterium culture(Biopsy&Tissue),分枝桿菌培養 （含抗酸性染色）,組織(Tissue),Stain negative & No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=273&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Acid fast stain & Mycobacterium culture(Body fluid),分枝桿菌培養 （含抗酸性染色）,腦脊髓液(CSF)、胸水(Pleural effusion)、腹水(Ascites)、體液(Body Fluid),Stain negative & No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=4&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Acid fast stain & Mycobacterium culture(Drain tube),分枝桿菌培養 （含抗酸性染色）,引流管(Drain tube),Stain negative & No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=5&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Acid fast stain & Mycobacterium culture(Drainage),分枝桿菌培養 （含抗酸性染色）,引流液(Drainage),Stain negative & No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=6&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Acid fast stain & Mycobacterium culture(Intravascular cather tip),分枝桿菌培養 （含抗酸性染色）,導管,Stain negative & No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=7&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Acid fast stain & Mycobacterium culture(Others),分枝桿菌培養 （含抗酸性染色）,血液(Blood)、糞便(Stool)、尿液(Urine),Stain negative & No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=187&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Acid fast stain & Mycobacterium culture(Pus-discharge),分枝桿菌培養 （含抗酸性染色）,外科傷口(Surgical wound)、褥瘡(Bed sore)、燒傷(Burn) 、眼睛(Eye)、皮膚膿(Skin Pus)、引流傷口(Drain wound)、其他分泌物(other discharge),Stain negative & No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=272&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Acid fast stain & Mycobacterium culture(Respiratory specimen),分枝桿菌培養 （含抗酸性染色）,痰液 (Sputum)、支氣管取出物,Stain negative & No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=51&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
