test_ename,test_cname,specimen,reference_range,detail_link
(Iron & TIBC)_Iron,血清鐵,血清(Serum),"51~209 µg/dL (2013/11/13變更)
(2012/07/05～2013/11/13：♂：70 - 180 µg/dL；♀：60 - 180 µg/dL)
(2012/01/02～2012/07/05 參考值為50~212 µg/dL)
(2012/01/02 前參考值：♂：75 - 178 µg/dL；♀：66 - 155 µg/dL)",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=369&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
(Iron & TIBC)_TIBC,總鐵結合能力,血清(Serum),268~593 µg/dL (2013/11/13變更，舊參考值為 275 - 332 µg/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=370&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
17-KS (Urine),尿液17-酮類固醇定量,二十四小時尿液(24hrs Urine),"♂：6 - 22 mg/24hrs
♀：4 - 16 mg/24hrs",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=189&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
25-OH Vitamin D,維生素D,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=371&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Acetaminophen(STAT),鎮痛解熱藥物Acetaminophen濃度,血清(Serum),有效治療濃度範圍：10 ~ 30 µg/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=242&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Adenosine Deaminase, ADA",腺核苷去胺酶,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=598&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Adenosine Deaminase, ADA_CSF,PLE",腺核苷去胺酶,胸水(Pleural effusion)；腦脊髓液(CSF),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=599&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Adrenocorticotropic hormone,ACTH",腎上腺皮質激素,血漿(EDTA Plasma),7.40 ~ 57.30 pg/mL (2013/11/13變更，舊參考值為 10 ~ 65 pg/mL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=122&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
AFP＋β-HCG＋uE3＋Inhibin A,懷孕第二期唐氏症篩檢（試劑檢驗）,血清(Serum),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=372&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Albumin(Blood),白蛋白,血清(Serum),3.5~5.7 g/dL (2013/11/13變更，舊參考值為3.5~5.0 g/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=373&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Albumin(Blood)(STAT),白蛋白,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=468&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Albumin(CSF),白蛋白(CSF),腦脊髓液(CSF),13.4 ~ 23.7 mg/dL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=38&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
