test_ename,test_cname,specimen,reference_range,detail_link
3P Test,硫酸魚精蛋白副凝固試驗,血漿(Sodium citrate Plasma),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=552&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Alpha2-antiplasmin,Alpha2纖維蛋白溶解素抑制劑,血漿(Sodium citrate Plasma),74.5~135.2% (2013/11/13變更，舊參考值為 80-120%),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=553&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Antithrombin III (Funciton),抗凝血酶III：功能,血漿(Sodium citrate Plasma),63~108.4% (2013/11/13變更，舊參考值為 ≧83%),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=554&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
aPTT,活化部分凝血質時間,血漿(Sodium citrate Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=577&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
aPTT(STAT),活化部分凝血質時間,血漿(Sodium citrate Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=586&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
D-dimer,D-雙聚體,血漿(Sodium citrate Plasma),"≦0.56 µg/mL FEU (2013/11/13變更，舊參考值為 ≦0.55 µg/mL FEU)
(Cut-off value for DVT or PE exclusion：＜0.5μg/mL FEU，and when patient having low or moderate pretest probability assessed by the Wells model.)",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=555&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
D-dimer(STAT),D-雙聚體,血漿(Sodium citrate Plasma),"≦0.56 µg/mL FEU (2013/11/13變更，舊參考值為 ≦0.55 µg/mL FEU)
(Cut-off value for DVT or PE exclusion：＜0.5μg/mL FEU，and when patient having low or moderate pretest probability assessed by the Wells model.)",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=582&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Dilute Russell Viper Venom Time, dRVVT",狼瘡抗凝素試驗,血漿(Sodium citrate Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=556&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Factor I Fibrinogen,纖維蛋白原,血漿(Sodium citrate Plasma),205.3~372.8 mg/dL (2013/11/13變更，舊參考值為 163.5 ~ 362.7mg/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=558&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Factor II,凝血因子II,血漿(Sodium citrate Plasma),80~130% (2013/11/13變更，舊參考值為 69~125%),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=559&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Factor IX Ab,凝血因子IX抗體,血漿(Sodium citrate Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=560&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Factor IX activity,凝血因子IX活性,血漿(Sodium citrate Plasma),67~127% (2013/11/13變更，舊參考值為 73-139%),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=561&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Factor V,凝血因子V,血漿(Sodium citrate Plasma),70~152% (2013/11/13變更，舊參考值為 62~133%),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=562&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Factor VII activity,凝血因子VII活性,血漿(Sodium citrate Plasma),69~160% (2013/11/13變更，舊參考值為 66~135%),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=563&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Factor VIII Ab,凝血因子VIII抗體,血漿(Sodium citrate Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=564&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Factor VIII: C,凝血因子VIII: 凝血活性,血漿(Sodium citrate Plasma),53~152% (2013/11/13變更，舊參考值為 48~179%),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=565&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Factor X,凝血因子X,血漿(Sodium citrate Plasma),74~148% (2013/11/13變更，舊參考值為 77~149%),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=566&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Factor XI,凝血因子XI,血漿(Sodium citrate Plasma),71~134% (2013/11/13變更，舊參考值為 53~135%),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=567&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Factor XII,凝血因子XII,血漿(Sodium citrate Plasma),46~113% (2013/11/13變更，舊參考值為 46~110%),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=568&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
FDP,纖維蛋白(原)分解產物,血漿(Sodium citrate Plasma),≦ 4.6 µg/mL (2013/11/13變更，舊參考值為 ≦ 4.1 µg/mL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=569&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
FDP(STAT),纖維蛋白(原)分解產物,血漿(Sodium citrate Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=583&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Fibrinogen(STAT),纖維蛋白原,血漿(Sodium citrate Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=584&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Mixing aPTT,混合活化部分凝血質時間,血漿(Sodium citrate Plasma),aPTT參考區間：25.6~32.6；Mixing aPTT參考區間：25.6~37.6(aPTT：25.6~32.6 sec (2013/11/13變更)，舊參考值為 26.9~36.3 sec),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=570&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Mixing PT,混合凝血酶原時間,血漿(Sodium citrate Plasma),PT參考區間：9.8~11.5；Mixing PT參考區間：9.8~16.5(PT：9.8~11.5 sec (2013/11/13變更)，舊參考值為 8~12.2 sec),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=571&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Plasminogen (Function),胞漿素原(功能),血漿(Sodium citrate Plasma),56.6~122.2% (2013/11/13變更，舊參考值為 66.4-184.9%),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=572&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Plasminogen activator inhibitor-I,胞漿素原活化抑制劑-1,血漿(Sodium citrate Plasma),0~5.9 U/mL (2013/11/13變更，舊參考值為 0.3~6.5 U/mL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=573&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Platelet aggregation test,血小板凝集試驗,富含血小板血漿(PRP),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=260&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
