test_ename,test_cname,specimen,reference_range,notes,detail_link
Abdominal mass aspiration cytology,腹部腫瘤細針穿刺細胞學檢查,腹部腫瘤細針穿刺抹片或穿刺液體(Abdominal mass aspiration),不適用(N/A),若為液體檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=171&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Abdomonal mass  imprint,腹部腫塊捺印抹片細胞學檢查,腹部腫塊捺印抹片(Abdomonal mass  imprint),不適用(N/A),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=157&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Ascites cytology,腹水細胞學檢查,腹水(Ascites),不適用(N/A),(1)抽出後加入總量1/10的3.8% Sodium citrate或少量Heparin液，防止凝固。(2)檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=24&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Bile cytology,膽汁細胞學檢查,膽汁(Bile),不適用(N/A),為防止細胞變性及自體溶解，檢體以4℃冰存，並儘速送達檢驗室。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=25&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Bladder wash cytology,膀胱沖洗液細胞學檢查,膀胱沖洗液(Bladder wash),不適用(N/A),(1)以二小時內送達檢驗室為原則，若未及送檢，請放置於4℃冰箱內暫時保存。(2)星期六中午以後及例假日採檢時，請加入等量75%酒精冰存,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=52&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Breast aspiration cytology,乳房細針穿刺細胞學檢查,乳房細針穿刺抹片或穿刺液體(Breast aspiration),不適用(N/A),若為液體檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=172&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Breast imprint,乳房捺印抹片細胞學檢查,乳房捺印抹片(Breast imprint),不適用(N/A),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=158&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Bronchial wash cytology,支氣管沖洗液細胞學檢查,支氣管沖洗液(Bronchial wash),不適用(N/A),"液體檢體以當天(12小時內)送檢為原則,若未及送檢,請放置於4℃冰箱內暫時保存",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=26&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Bronchoalveolar lavage cytology,支氣管肺泡沖洗液細胞學檢查,支氣管肺泡沖洗液(Bronoalveolar larvage),不適用(N/A),"液體檢體以當天(12小時內)送檢為原則,若未及送檢,請放置於4℃冰箱內暫時保存",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=27&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Brush cytology,刷拭細胞學檢查,支氣管刷拭片(Bronchial brush)、膽管刷拭片(Common Bile Duct brush),不適用(N/A),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=159&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
